step,loss,grad_norm,learning_rate,update_norm,param_norm,run_id
0,2.2045707561963166,1.4883756546966045,0.001,0.0014739793989753057,10.0,synthetic-grad_ramp-42
1,2.1809765602756115,1.4103635015682277,0.001,0.001401755512003411,10.0,synthetic-grad_ramp-42
2,2.2044191796521546,1.3250066081949752,0.001,0.001305606623411824,10.0,synthetic-grad_ramp-42
3,2.203866712414711,1.3671925092408606,0.001,0.0013435828733215174,10.0,synthetic-grad_ramp-42
4,2.1570982561116034,1.4684344130194933,0.001,0.0014993578649833814,10.0,synthetic-grad_ramp-42
5,2.1634463182199504,1.3464195248049593,0.001,0.0013567960445620903,10.0,synthetic-grad_ramp-42
6,2.1815215007299558,1.310377113826887,0.001,0.0013362503070980846,10.0,synthetic-grad_ramp-42
7,2.1714947690829525,1.4067079841846957,0.001,0.001406336886344669,10.0,synthetic-grad_ramp-42
8,2.1726305058439213,1.3810007114072307,0.001,0.0014024271076353472,10.0,synthetic-grad_ramp-42
9,2.156740554088984,1.4387613144319007,0.001,0.0014207957227169372,10.0,synthetic-grad_ramp-42
10,2.17939041966252,1.4069090614851205,0.001,0.0015042389637342194,10.0,synthetic-grad_ramp-42
11,2.1745390861099874,1.4514107689891331,0.001,0.00138472022422861,10.0,synthetic-grad_ramp-42
12,2.160544917421748,1.3331565370618,0.001,0.0013845533354761162,10.0,synthetic-grad_ramp-42
13,2.173154790699736,1.3684849632589886,0.001,0.001425812013135232,10.0,synthetic-grad_ramp-42
14,2.1599599671165683,1.365568903002869,0.001,0.0013311009162172876,10.0,synthetic-grad_ramp-42
15,2.1367685062484285,1.290687433519368,0.001,0.0013799581587369525,10.0,synthetic-grad_ramp-42
16,2.151909106130581,1.2410478397604912,0.001,0.0012786703683846004,10.0,synthetic-grad_ramp-42
17,2.1287239147274266,1.3848259507362795,0.001,0.0014257651751282306,10.0,synthetic-grad_ramp-42
18,2.153022549123305,1.3587435308918,0.001,0.0013598862601113654,10.0,synthetic-grad_ramp-42
19,2.1358448516726964,1.3003338399610964,0.001,0.0012918873959484383,10.0,synthetic-grad_ramp-42
20,2.1305780289406653,1.3469151981194356,0.001,0.0013384800438454678,10.0,synthetic-grad_ramp-42
21,2.1199034971350392,1.4580588835149197,0.001,0.0014752418421909643,10.0,synthetic-grad_ramp-42
22,2.1452312617432314,1.242363647845531,0.001,0.001295700299825767,10.0,synthetic-grad_ramp-42
23,2.1213600999280566,1.2259919366572125,0.001,0.0012326787995928308,10.0,synthetic-grad_ramp-42
24,2.1140471982108267,1.2589838321004092,0.001,0.0012250254317915338,10.0,synthetic-grad_ramp-42
25,2.1119933323875038,1.4482621885970077,0.001,0.0014845284190877987,10.0,synthetic-grad_ramp-42
26,2.122072314150871,1.4250470457056152,0.001,0.0014649767178610733,10.0,synthetic-grad_ramp-42
27,2.1163907726552385,1.4547759621745102,0.001,0.0014836298653182073,10.0,synthetic-grad_ramp-42
28,2.1139306048379027,1.3189162279243232,0.001,0.0013487460744891471,10.0,synthetic-grad_ramp-42
29,2.111041477461791,1.2754180160788218,0.001,0.001265093631859781,10.0,synthetic-grad_ramp-42
30,2.1335524401613277,1.373530975532051,0.001,0.001335779616165071,10.0,synthetic-grad_ramp-42
31,2.092189055886961,1.3792552936936944,0.001,0.0013437952790181695,10.0,synthetic-grad_ramp-42
32,2.087468160781346,1.4185287177611765,0.001,0.0013506099736920484,10.0,synthetic-grad_ramp-42
33,2.07982067139918,1.3751878089000447,0.001,0.001384998100874374,10.0,synthetic-grad_ramp-42
34,2.0981513287813387,1.3951417421064014,0.001,0.001391653423942643,10.0,synthetic-grad_ramp-42
35,2.102739486033965,1.3924761157706629,0.001,0.0013742167184425608,10.0,synthetic-grad_ramp-42
36,2.0809978176982864,1.4392789020057883,0.001,0.0013171544117304345,10.0,synthetic-grad_ramp-42
37,2.067015648759374,1.457859003384542,0.001,0.0014043146628359808,10.0,synthetic-grad_ramp-42
38,2.06417055724327,1.2809836694133876,0.001,0.0013247893876200288,10.0,synthetic-grad_ramp-42
39,2.0832252349302878,1.1823466751989407,0.001,0.0011590055945670918,10.0,synthetic-grad_ramp-42
40,2.0815524863117645,1.3741040240853357,0.001,0.0013890494304351962,10.0,synthetic-grad_ramp-42
41,2.075497056394205,1.4627028583179746,0.001,0.0014029335457116533,10.0,synthetic-grad_ramp-42
42,2.0543218784512582,1.3235886939635257,0.001,0.001381967100874165,10.0,synthetic-grad_ramp-42
43,2.0647504138036585,1.220013983241134,0.001,0.0012147538826472798,10.0,synthetic-grad_ramp-42
44,2.059990414409927,1.3201325157042583,0.001,0.0013316693880486576,10.0,synthetic-grad_ramp-42
45,2.0585012282397024,1.4201148401335835,0.001,0.0015227396829447448,10.0,synthetic-grad_ramp-42
46,2.0652817170279585,1.52747159429835,0.001,0.001598566066069997,10.0,synthetic-grad_ramp-42
47,2.052562194137885,1.4598039256774866,0.001,0.001446439704117859,10.0,synthetic-grad_ramp-42
